Date,Rain
2014-01,13.0
2014-02,16.2
2014-03,7.2
2014-04,31.0
2014-05,63.0
2014-06,98.1
2014-07,207.9
2014-08,172.8
2014-09,88.1
2014-10,52.2
2014-11,41.5
2014-12,17.9
2015-01,11.3
2015-02,22.7
2015-03,9.6
2015-04,80.5
2015-05,28.9
2015-06,99.0
2015-07,226.0
2015-08,72.9
2015-09,26.0
2015-10,81.5
2015-11,104.6
2015-12,29.1
2016-01,1.0
2016-02,47.6
2016-03,40.5
2016-04,76.8
2016-05,160.5
2016-06,54.4
2016-07,358.2
2016-08,67.1
2016-09,33.0
2016-10,74.8
2016-11,16.7
2016-12,61.1
2017-01,14.9
2017-02,11.1
2017-03,7.9
2017-04,61.6
2017-05,16.1
2017-06,66.6
2017-07,621.0
2017-08,297.0
2017-09,35.0
2017-10,26.5
2017-11,40.7
2017-12,34.8
2018-01,8.5
2018-02,29.6
2018-03,49.5
2018-04,130.3
2018-05,222.0
2018-06,171.5
2018-07,185.6
2018-08,202.6
2018-09,68.5
2018-10,120.5
2018-11,79.1
2018-12,16.4
2019-01,0.0
2019-02,23.8
2019-03,26.8
2019-04,47.3
2019-05,37.8
2019-06,74.0
2019-07,194.4
2019-08,190.5
2019-09,139.8
2019-10,55.5
2019-11,78.8
2019-12,22.6
2020-01,60.5
2020-02,53.1
2020-03,16.3
2020-04,16.9
2020-05,112.4
2020-06,139.6
2020-07,270.4
2020-08,675.7
2020-09,181.5
2020-10,0.0
2020-11,120.1
2020-12,4.6
2021-01,18.9
2021-02,7.1
2021-03,110.9
2021-04,124.1
2021-05,183.1
2021-06,104.6
2021-07,168.3
2021-08,211.2
2021-09,131.0
2021-10,57.0
2021-11,62.4
2021-12,7.9
2022-01,5.5
2022-02,4.7
2022-03,102.6
2022-04,20.4
2022-05,7.5
2022-06,393.8
2022-07,252.3
2022-08,564.8
2022-09,201.5
2022-10,124.1
2022-11,84.5
2022-12,13.6
2023-01,47.9
2023-02,1.0
2023-03,10.5
2023-04,96.9
2023-05,155.6
2023-06,195.6
2023-07,459.9
2023-08,298.1
2023-09,134.5
2023-10,31.0
2023-11,81.9
2023-12,85.9
