Date,Consumer_price
2014-01-02,"60,642"
2014-01-03,"59,919"
2014-01-06,"58,957"
2014-01-07,"59,046"
2014-01-08,"58,749"
2014-01-09,"60,978"
2014-01-10,"61,047"
2014-01-13,"62,039"
2014-01-14,"62,554"
2014-01-15,"63,056"
2014-01-16,"62,953"
2014-01-17,"62,365"
2014-01-20,"63,335"
2014-01-21,"63,012"
2014-01-22,"63,200"
2014-01-23,"63,642"
2014-01-24,"64,459"
2014-01-27,"63,900"
2014-01-28,"63,900"
2014-01-29,"64,047"
2014-02-03,"64,760"
2014-02-04,"64,654"
2014-02-05,"63,997"
2014-02-06,"64,128"
2014-02-07,"62,794"
2014-02-10,"63,850"
2014-02-11,"63,512"
2014-02-12,"63,983"
2014-02-13,"64,074"
2014-02-14,"62,543"
2014-02-17,"61,935"
2014-02-18,"62,369"
2014-02-19,"60,953"
2014-02-20,"61,217"
2014-02-21,"60,967"
2014-02-24,"59,995"
2014-02-25,"60,886"
2014-02-26,"60,439"
2014-02-27,"60,923"
2014-02-28,"60,923"
2014-03-03,"59,062"
2014-03-04,"59,319"
2014-03-05,"60,014"
2014-03-06,"60,925"
2014-03-07,"61,008"
2014-03-10,"62,029"
2014-03-11,"62,029"
2014-03-12,"61,856"
2014-03-13,"59,139"
2014-03-14,"57,781"
2014-03-17,"57,747"
2014-03-18,"59,177"
2014-03-19,"59,644"
2014-03-20,"62,778"
2014-03-21,"61,657"
2014-03-24,"64,177"
2014-03-25,"64,120"
2014-03-26,"64,049"
2014-03-27,"62,128"
2014-03-28,"61,731"
2014-03-31,"61,006"
2014-04-01,"61,297"
2014-04-02,"61,994"
2014-04-03,"59,888"
2014-04-04,"59,888"
2014-04-07,"60,365"
2014-04-08,"60,535"
2014-04-09,"60,535"
2014-04-10,"60,350"
2014-04-11,"60,006"
2014-04-14,"61,326"
2014-04-15,"60,546"
2014-04-16,"61,153"
2014-04-17,"59,374"
2014-04-18,"59,444"
2014-04-21,"59,811"
2014-04-22,"59,811"
2014-04-23,"59,811"
2014-04-24,"61,226"
2014-04-25,"60,550"
2014-04-28,"62,206"
2014-04-29,"62,263"
2014-04-30,"62,891"
2014-05-02,"61,089"
2014-05-07,"61,257"
2014-05-08,"62,297"
2014-05-09,"62,324"
2014-05-12,"62,597"
2014-05-13,"62,597"
2014-05-14,"62,597"
2014-05-15,"62,111"
2014-05-16,"61,797"
2014-05-19,"61,854"
2014-05-20,"61,879"
2014-05-21,"61,932"
2014-05-22,"60,906"
2014-05-23,"61,191"
2014-05-26,"61,821"
2014-05-27,"61,997"
2014-05-28,"61,926"
2014-05-29,"62,046"
2014-05-30,"62,029"
2014-06-02,"62,400"
2014-06-03,"62,400"
2014-06-04,"62,400"
2014-06-05,-
2014-06-09,"64,536"
2014-06-10,"64,668"
2014-06-11,"64,191"
2014-06-12,"64,279"
2014-06-13,"64,136"
2014-06-16,"64,859"
2014-06-17,"64,985"
2014-06-18,"64,422"
2014-06-19,"64,359"
2014-06-20,"64,391"
2014-06-23,"64,550"
2014-06-24,"64,550"
2014-06-25,"65,115"
2014-06-26,"64,624"
2014-06-27,"64,594"
2014-06-30,"64,671"
2014-07-01,"64,222"
2014-07-02,"64,194"
2014-07-03,"62,554"
2014-07-04,"62,554"
2014-07-07,"62,579"
2014-07-08,"63,071"
2014-07-09,"63,229"
2014-07-10,"65,829"
2014-07-11,"65,916"
2014-07-14,"65,244"
2014-07-15,"64,633"
2014-07-16,"64,614"
2014-07-17,"65,208"
2014-07-18,"65,392"
2014-07-21,"64,097"
2014-07-22,"63,932"
2014-07-23,"63,932"
2014-07-24,"63,827"
2014-07-25,"63,636"
2014-07-28,0
2014-07-29,0
2014-07-30,0
2014-07-31,0
2014-08-01,0
2014-08-04,0
2014-08-05,"64,716"
2014-08-06,"64,671"
2014-08-07,"65,011"
2014-08-08,"64,957"
2014-08-11,"64,638"
2014-08-12,"65,282"
2014-08-13,"65,150"
2014-08-14,"66,441"
2014-08-18,"67,786"
2014-08-19,"68,170"
2014-08-20,"68,224"
2014-08-21,"66,542"
2014-08-22,"67,003"
2014-08-25,"67,666"
2014-08-26,"66,968"
2014-08-27,"67,021"
2014-08-28,"67,021"
2014-08-29,"67,021"
2014-09-01,"67,932"
2014-09-02,"68,839"
2014-09-03,"69,829"
2014-09-04,"69,465"
2014-09-05,"69,641"
2014-09-11,"70,251"
2014-09-12,"67,554"
2014-09-15,"68,572"
2014-09-16,"68,572"
2014-09-17,"67,377"
2014-09-18,"67,710"
2014-09-19,"68,010"
2014-09-22,"68,054"
2014-09-23,"67,658"
