date,total,farm
201401,278,59
201402,317,39
201403,619,82
201404,621,79
201405,724,86
201406,600,52
201407,517,66
201408,393,56
201409,430,71
201410,513,60
201411,450,39
201412,573,61
201501,277,36
201502,226,36
201503,388,44
201504,322,51
201505,415,72
201506,349,57
201507,197,53
201508,466,50
201509,354,60
201510,232,47
201511,410,53
201512,463,44
201601,198,35
201602,194,34
201603,473,66
201604,344,72
201605,247,43
201606,640,45
201607,257,29
201608,348,42
201609,350,41
201610,508,53
201611,397,71
201612,634,75
201701,304,40
201702,350,49
201703,615,61
201704,492,80
201705,241,51
201706,362,62
201707,269,49
201708,377,66
201709,415,72
201710,293,35
201711,547,71
201712,299,36
201801,268,53
201802,219,34
201803,299,67
201804,298,43
201805,372,69
201806,383,74
201807,746,43
201808,389,45
201809,173,41
201810,495,58
201811,401,46
201812,474,67
201901,529,61
201902,336,32
201903,457,83
201904,589,73
201905,396,42
201906,532,45
201907,360,61
201908,310,38
201909,284,42
201910,607,46
201911,418,41
201912,216,38
202001,374,32
202002,198,46
202003,360,37
202004,434,65
202005,361,41
202006,532,43
202007,406,59
202008,202,47
202009,398,42
202010,354,23
202011,309,46
202012,182,36
202101,222,21
202102,213,29
202103,197,49
202104,504,59
202105,585,84
202106,478,57
202107,328,27
202108,375,46
202109,293,43
202110,274,49
202111,264,34
202112,294,40
202201,274,39
202202,221,31
202203,428,37
202204,335,48
202205,286,44
202206,243,32
202207,201,31
202208,209,31
202209,213,32
202210,144,29
202211,225,44
202212,388,27
202301,177,33
202302,208,30
202303,287,52
202304,224,65
202305,290,51
202306,172,22
202307,187,19
202308,170,23
202309,192,22
202310,93,17
202311,191,17
202312,195,22
