Date,Consumer_price
20140102,60642
20140103,59919
20140106,58957
20140107,59046
20140108,58749
20140109,60978
20140110,61047
20140113,62039
20140114,62554
20140115,63056
20140116,62953
20140117,62365
20140120,63335
20140121,63012
20140122,63200
20140123,63642
20140124,64459
20140127,63900
20140128,63900
20140129,64047
20140203,64760
20140204,64654
20140205,63997
20140206,64128
20140207,62794
20140210,63850
20140211,63512
20140212,63983
20140213,64074
20140214,62543
20140217,61935
20140218,62369
20140219,60953
20140220,61217
20140221,60967
20140224,59995
20140225,60886
20140226,60439
20140227,60923
20140228,60923
20140303,59062
20140304,59319
20140305,60014
20140306,60925
20140307,61008
20140310,62029
20140311,62029
20140312,61856
20140313,59139
20140314,57781
20140317,57747
20140318,59177
20140319,59644
20140320,62778
20140321,61657
20140324,64177
20140325,64120
20140326,64049
20140327,62128
20140328,61731
20140331,61006
20140401,61297
20140402,61994
20140403,59888
20140404,59888
20140407,60365
20140408,60535
20140409,60535
20140410,60350
20140411,60006
20140414,61326
20140415,60546
20140416,61153
20140417,59374
20140418,59444
20140421,59811
20140422,59811
20140423,59811
20140424,61226
20140425,60550
20140428,62206
20140429,62263
20140430,62891
20140502,61089
20140507,61257
20140508,62297
20140509,62324
20140512,62597
20140513,62597
20140514,62597
20140515,62111
20140516,61797
20140519,61854
20140520,61879
20140521,61932
20140522,60906
20140523,61191
20140526,61821
20140527,61997
20140528,61926
20140529,62046
20140530,62029
20140602,62400
20140603,62400
20140604,62400
20140609,64536
20140610,64668
20140611,64191
20140612,64279
20140613,64136
20140616,64859
20140617,64985
20140618,64422
20140619,64359
20140620,64391
20140623,64550
20140624,64550
20140625,65115
20140626,64624
20140627,64594
20140630,64671
20140701,64222
20140702,64194
20140703,62554
20140704,62554
20140707,62579
20140708,63071
20140709,63229
20140710,65829
20140711,65916
20140714,65244
20140715,64633
20140716,64614
20140717,65208
20140718,65392
20140721,64097
20140722,63932
20140723,63932
20140724,63827
20140725,63636
20140805,64716
20140806,64671
20140807,65011
20140808,64957
20140811,64638
20140812,65282
20140813,65150
20140814,66441
20140818,67786
20140819,68170
20140820,68224
20140821,66542
20140822,67003
20140825,67666
20140826,66968
20140827,67021
20140828,67021
20140829,67021
20140901,67932
20140902,68839
20140903,69829
20140904,69465
20140905,69641
20140911,70251
20140912,67554
20140915,68572
20140916,68572
20140917,67377
20140918,67710
20140919,68010
20140922,68054
20140923,67658
20140924,68213
20140925,66574
20140926,66476
20140929,66157
20140930,66157
20141001,66535
20141002,67540
20141006,67124
20141007,67634
20141008,67920
20141010,67184
20141013,67726
20141014,67323
20141015,66733
20141016,66437
20141017,65989
20141020,66721
20141021,68063
20141022,68551
20141023,69119
20141024,69484
20141027,68362
20141028,68362
20141029,68100
20141030,67921
20141031,67805
20141103,66959
20141104,67646
20141105,68159
20141106,67862
20141107,67659
20141110,67403
20141111,67403
20141112,67317
20141113,67441
20141114,67711
20141117,68165
20141118,68246
20141119,68468
20141120,68211
20141121,67983
20141124,67983
20141125,67714
20141126,67477
20141127,67640
20141128,66780
20141201,66780
20141202,66780
20141203,66975
20141204,67390
20141205,67049
20141208,66776
20141209,66800
20141210,66923
20141211,66108
20141212,66108
20141215,66276
20141216,66425
20141217,66711
20141218,67938
20141219,67734
20141222,66621
20141223,66351
20141224,66218
20141226,66783
20141229,66136
20141230,66425
20141231,64233
20150102,64390
20150105,65654
20150106,65397
20150107,65539
20150108,62858
20150109,62858
20150112,62440
20150113,62440
20150114,62235
20150115,65114
20150116,64923
20150119,65555
20150120,65721
20150121,65721
20150122,66428
20150123,66300
20150126,66831
20150127,66754
20150128,66376
20150129,66855
20150130,66725
20150202,66725
20150203,67435
20150204,67610
20150205,65660
20150206,65723
20150209,65331
20150210,65844
20150211,65844
20150212,66495
20150213,66495
20150216,66376
20150217,66376
20150223,66935
20150224,67286
20150225,65165
20150226,63583
20150227,63333
20150302,62308
20150303,62500
20150304,62220
20150305,64223
20150306,64189
20150309,65372
20150310,66462
20150311,66356
20150312,66253
20150313,66045
20150316,66144
20150317,66439
20150318,66780
20150319,64566
20150320,64251
20150323,64533
20150325,64468
20150326,65227
20150327,64783
20150330,65398
20150331,65373
20150401,64251
20150402,64105
20150403,64105
20150406,64583
20150407,64583
20150408,64910
20150409,64354
20150410,64273
20150413,64102
20150414,64230
20150415,64105
20150416,62415
20150417,62872
20150420,63303
20150421,63251
20150422,62944
20150423,65208
20150424,64803
20150427,64879
20150428,64879
20150429,64879
20150430,62103
20150504,62278
20150506,61515
20150507,63559
20150508,63559
20150511,64450
20150512,64425
20150513,64525
20150514,64525
