Date,Avg_temp,Temp_diff,Consumer_price,Cow_disease
20140102,1.5,7.5,60642,278
20140103,2.3,8.4,59919,278
20140106,0.8,10.1,58957,278
20140107,3,5.2,59046,278
20140108,0.5,9.7,58749,278
20140109,-7.8,6.1,60978,278
20140110,-4.7,8.4,61047,278
20140113,-6.2,8.9,62039,278
20140114,-4.3,10,62554,278
20140115,-2.9,9.8,63056,278
20140116,0.1,7.6,62953,278
20140117,-0.1,7.5,62365,278
20140120,-1.5,6.1,63335,278
20140121,-5.5,4.1,63012,278
20140122,-3.9,11.1,63200,278
20140123,-0.8,9.3,63642,278
20140124,3,6.8,64459,278
20140127,0.2,11.4,63900,278
20140128,1.5,7.6,63900,278
20140129,2.2,13.5,64047,278
20140203,-3.5,11,64760,317
20140204,-7.4,6.8,64654,317
20140205,-4.8,9.2,63997,317
20140206,-1.3,9.7,64128,317
20140207,2.4,9.6,62794,317
20140210,-0.1,7.3,63850,317
20140211,0.2,9,63512,317
20140212,1.2,7.1,63983,317
20140213,1.9,8.6,64074,317
20140214,2.7,8.3,62543,317
20140217,4.2,7.6,61935,317
20140218,2.5,5.1,62369,317
20140219,2.1,8.6,60953,317
20140220,1.2,6.7,61217,317
20140221,0.9,10.9,60967,317
20140224,4.1,9.6,59995,317
20140225,5.7,11.7,60886,317
20140226,8.4,15,60439,317
20140227,7.7,9.3,60923,317
20140228,6.7,11,60923,317
20140303,5.2,12.9,59062,619
20140304,6.3,10.1,59319,619
20140305,1.4,6.7,60014,619
20140306,0.3,8,60925,619
20140307,-0.6,8.9,61008,619
20140310,1.5,11.3,62029,619
20140311,4.5,10.3,62029,619
20140312,6.9,5.5,61856,619
20140313,5.2,6.7,59139,619
20140314,3.4,10,57781,619
20140317,12.6,12.5,57747,619
20140318,10.5,8.3,59177,619
20140319,9.6,4.9,59644,619
20140320,6.3,7.5,62778,619
20140321,5.9,10.8,61657,619
20140324,10.9,10.7,64177,619
20140325,14.6,6.3,64120,619
20140326,15.4,10.1,64049,619
20140327,13.5,12.7,62128,619
20140328,16.6,12.5,61731,619
20140331,14.5,11.4,61006,619
20140401,15.6,13.5,61297,621
20140402,15.5,12,61994,621
20140403,10.2,8.1,59888,621
20140404,6.6,9.4,59888,621
20140407,10.3,11.8,60365,621
20140408,11.9,14,60535,621
20140409,10.3,8.3,60535,621
20140410,12.5,12.8,60350,621
